user_id,simple_status,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,result,lsat,softs,urm,non_trad,gpa,years_out,is_military,is_character_and_fitness_issues,school_name,cycle,decision,color,marker,splits
45863,Accepted,2018-11-03,,,,,,2019-01-18,Accepted,173.0,,False,False,3.99,0.0,,,University of Chicago,19,A,green,triangle-se,green
45863,Accepted,2018-11-09,,,,,,2019-01-11,Accepted,173.0,,False,False,3.99,0.0,,,University of California—Berkeley,19,A,green,triangle-se,green
45863,Waitlisted,2018-11-09,,,,,,2019-02-08,Waitlisted,173.0,,False,False,3.99,0.0,,,University of Michigan,19,WL,orange,triangle-se,orange
45863,Accepted,2018-11-14,,,,,,2019-01-15,Accepted,173.0,,False,False,3.99,0.0,,,University of Pennsylvania,19,A,green,triangle-se,green
45863,Accepted,2018-11-04,,,,,,2019-04-10,Accepted,173.0,,False,False,3.99,0.0,,,New York University,19,A,green,triangle-se,green
45863,Accepted,2018-11-23,,2018-11-29,,,,2019-01-17,Accepted,173.0,,False,False,3.99,0.0,,,Columbia University,19,A,green,triangle-se,green
45865,Accepted,2018-12-21,,,,,,2019-03-13,Accepted,168.0,,False,False,3.924,0.0,,,New York University,19,A,green,triangle-se,green
45865,Waitlisted,2018-12-28,,,,,,2019-03-01,Waitlisted,168.0,,False,False,3.924,0.0,,,University of Michigan,19,WL,orange,triangle-se,orange
45867,"WL, Withdrawn",2018-11-22,2018-11-26,2018-12-07,,,,2019-02-08,"WL, Withdrawn",171.0,T3,False,False,4.04,1.0,,,University of Michigan,19,WL,orange,triangle-se,orange
45867,Accepted,2018-11-22,2018-11-26,2018-12-03,2018-12-10,,2019-01-16,2019-02-15,Accepted,171.0,T3,False,False,4.04,1.0,,,University of Chicago,19,A,green,triangle-se,green
45867,"WL, Rejected",2018-11-22,2018-11-23,2018-11-26,,,2019-01-14,2019-08-14,"WL, Rejected",171.0,T3,False,False,4.04,1.0,,,Harvard University,19,WL,orange,triangle-se,orange
